tracklist_id,track_id,station,host,image,artist
1,0jXPTqxWliX6Z2R1fdwzYT,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Trouble Funk
2,5uAzSQQhVL9X0C2BFNA7EC,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Davy DMX
3,5NKHUvpRs7zr0yOQjx8Exr,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Cybotron
4,6nDk4QT1fDe0S86PxijTUE,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Hashim
5,2nWHzbBWBOePUvAImQv2So,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Herbie Hancock
6,3grljpi1aYIRA6TuXvGigL,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Afrika Bambaataa
7,7DEpSeyiupvwY5tB8Yqbhh,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,2 Live Crew
8,2XYNq7LIQrh82m7LPiPN8w,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Run-D.M.C
9,4iuO0dinw5Bm18pXbZok8w,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Mantronix
10,0NB3i5GSB3bUfBvNDZh8y2,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Tyrone Brunson
11,2TMmRqOvZswq2hc1TbCy6b,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Whodini
12,1LiwqqaafXkNQuWGW3HeId,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Zapp & Roger
13,5DuTNKFEjJIySAyJH1yNDU,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Grandmaster Flash & The Furious Five
14,5TvcggVu3s2P1fMAS8BupX,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Kurtis Blow
15,21NALHsloDI31T781jDMFw,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Man Parrish
16,7o67roCVsFiCt7Cf0ZLOJq,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Hall and Oates
17,2JvPJ8ydPuN2NhpH4oti6I,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Wang Chung
18,5ChkMS8OtdzJeqyybCc9R5,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Michael Jackson
19,6JNJERZGJwDVgkmbohBw7u,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Laura Branigan
20,5OtK7MJ1VE80m60X1OSR4h,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Go West
21,6FRugAcwKEgQ3r2MkWC5Mm,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,INXS
22,2RWFncSWZEhSRRifqiDNVV,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Bryan Adams
23,3JLX8R2EP8pjNna83AEO7X,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Electric Light Orchestra
24,0GTK6TesV108Jj5D3MHsYb,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Yes
25,6t1FIJlZWTQfIZhsGjaulM,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,The Buggles
26,4VmmNHz5nigftA0B3GR0M5,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Aneka
27,2iWTHXaFtRSMhd5OLpYD7f,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Talk Talk
28,4oDZ5L8izBals6jKBJDBcX,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,The Outfield
29,2KY0QUeRY3IPuJI1gyU9BJ,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Joe Jackson
30,5B37ocpk2zxeZL1lq5F6ui,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,The Fixx
31,64gd0sYZyawZebzZAO6eqS,Flash FM,Toni,https://static.wikia.nocookie.net/gtawiki/images/6/60/FlashFM.png/revision/latest/scale-to-width-down/140?cb=20130929041527,Lionel Richie
32,7oQ1wkBmYSBEC2x7U08dvn,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,The Whispers
33,1AOacbO5iSMxrGMihq9QDA,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Fat Larry's Band
34,0awG4a7t5UrmZZ4PZVNav3,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Oliver Cheatham
35,38TuEl4QqLM1VtJ5LK6FK0,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Pointer Sisters
36,57b0v2TB75b3ON5g5e8Q6N,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,RenÃ© & Angela
37,7iyjZ4paFWpTrJJenM0yZb,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Mary Jane Girls
38,5Od8o3WsbeLxlGP1vmH6s6,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Rick James
39,2kulOHR2XY6YDZCWXb38hn,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Michael Jackson
40,6KlnQC66NiJTdO88aL62SF,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,"Evelyn ""Champagne"" King"
41,6nXCHvql32RBADi95fvHo9,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Teena Marie
42,223kK8LVBwzkk3Ck7Ua0Sk,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Mtume
43,2uMqG8w8oi09fB2YA2QLOm,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Kool & the Gang
44,6NSqiyQWIyZLouviktad9X,Fever 105,"Oliver ""Ladykiller"" BiscuitÂ ",https://static.wikia.nocookie.net/gtawiki/images/1/14/Fever_105.png/revision/latest/scale-to-width-down/140?cb=20141024194538,Indeep
45,70Z9t1qhytWtG4cCmmi7mU,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Twisted Sister
46,2rVZC1JG8pBIuUUdrpvjPx,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,MÃ¶tley CrÃ¼e
47,3vV3cr2TpPqFk07zxYUbla,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Quiet Riot
48,3qLZ866ZfaK0B0R5FIqXLG,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,The Cult
49,2E7W1X4maFFcjHrVrFA7Vs,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Ozzy Osbourne
50,65lKVwKPHakSbvmbifjpx2,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Love Fist
51,4sAjWbPq6iSI6I0Ovr9CkY,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Iron Maiden
52,35k31HZI4z9PbBOioaI4dZ,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Loverboy
53,2nsrALjWaiP5WqyzIkJlHe,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Alcatrazz
54,3U61Hscyv1eoDYr8kOPwrq,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Tesla
55,7u0b4DthVvd2F2EzCiOx0Z,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Autograph
56,5a2hIQWInPjqkkFiUEgxoX,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Megadeth
57,76BYv24CcZt2u94JRjmATX,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Anthrax
58,01Mpj13vURSO3cCLprPt5T,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Slayer
59,4f3RDq9nYPBeR1yMSgnmBm,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Judas Priest
60,1UqJVBMiaiBcYxdi043YdM,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,Love Fist 
61,5Fh5nmTu6TEk0ze8QAU7og,V-Rock,Lazlow,https://static.wikia.nocookie.net/gtawiki/images/8/8b/V-Rock-Logo.png/revision/latest/scale-to-width-down/140?cb=20140326230324,David Lee Roth
62,6hJqMX00Uj3Yo2drRCKN54,Radio Espantoso,Pepe,https://static.wikia.nocookie.net/gtawiki/images/8/83/RadioEspantoso-GTAVC-Logo.svg/revision/latest/scale-to-width-down/140?cb=20181017142853,Cachao
